name;maxTT
Alicenies Gel';0.1;
Angelic Flakes';1;
Antimagnetic Oil';2;
Ares Powder';0.52;
Aurilinin Gel';4.04;
Binary Energy';1.5;
Black Russian Cocktail';0.06;
Bodai Filler';0.4;
Chalmon';0.94;
Chilling Agent';0;
Color Enhancing Agent';0.3;
Darkening Agent';0.16;
Dianthus Crystal Powder';0.6;
Distilled Sweat Crystal';1.1106;
Dunkel Plastix'; 1; 1; 11; 1.1;
Edres Varnish';0.26;
Energized Crystal Cell';0.6;
Energized Fertilizer';0.47;
Fire Root Pellet';0.6;
Florican Spray';0.54;
Garcen Lubricant';0.2;
Ghali Powder';0.32;
Gorbek Tallow';0.8;
Hardening Agent';0.04;
Harvey Wallbanger Cocktail';0.08;
Heating Agent';0;
Henren Cube';1.26;
Hurricane Cocktail';0.02;
Hydrogen Gas';0.04;
Inhaler';0.8;
Kamikaze Cocktail';0.17;
Life Essence';0.06;
Lightening Agent';0.2;
Light Liquid';0.84;
Light Mail';0.02;
Long Island Ice Tea Cocktail';0.1;
Lotium Gel';0.6;
Lytairian Powder';0.38;
Magerian Spray';0.5;
Magtonium Dust';0;
Mai Tai Cocktail';0.03;
Mamnoon Mist';0.16;
Medical Compress';0.18;
Melchi Crystal';0.04;
Mojito Cocktail';0.04;
Nawa Vial';0.02;
Nirvana Cocktail';0.04;
Oil';0.02;
Pearl Sand';1.92;
Pel Liquid';1;
Pina Colada Cocktail';0.05;
Putty';0.78;
Quil Rubber';0.5;
Reflecting Agent';0.6;
Root Acid';0.64;
Sham Sand';0.01;
Softening Agent';0.14;
Solis Paste';1.56;
Somin Glue';0.12;
Star Dust';0.16;
Super Adhesive';0.02;
Typonolic Gas';0.3;
Vorn Plastic';0.4;
Whiskey Sour Cocktail';0.15;
Xelo Vapour';0.78;
Youd Bottle';0.08;
Zincalicid Energy Crystal';4.24;
Zoldenite Crystal';0.08;
Zolphic Grease';0.08;
