name;maxTT
Aakas Plating;0.3;
Aarkan Polymer;0.06;
Alkar Lattice;0.15;
Balancing Agent;0.18;
Binding Epoxy;0.9;
Bismuth Plating;0.6;
Brass Alloy;0.36;
Bronze Alloy;0.3;
Diagen Matrix;0.12;
Flint Arrow Head;0.24;
Flint Axe Head;0.18;
Fly Amber;0.3;
Fossil Ammonite;0.06;
Fossil Tooth;0.03;
Hexra Electroplate;0.3;
Khorudoul Polymer;0.24;
Khorum Plating;0.6;
Mosquito Amber;0.9;
Pirrel Hexaton;0.9;
Quenta Panel;0.45;
Regula Powder;0.6;
Songkra Plating;0.75;
Starrix Quilting;0.75;
Vedacore Sheeting;0.45;
