name;maxTT
Acid Root;0.32;
Alicenies Liquid;0.05;
Angelic Grit;0.5;
Angel Scales;0.01;
Ares Head;0.26;
Azur Pearls;0.96;
Binary Fluid;0.75;
Black Russian Cocktail Mix;0.03;
Blood Moss;0.09;
Blue Crystal;0.02;
Bodai Dust;0.2;
Cave Sap;0.39;
Clear Crystal;0.1;
Crude Oil;0.01;
Devil''s Tail;0.47;
Dianthus Liquid;0.3;
Dunkel Particle;0.55;
Edres Resin;0.13;
Energized Crystal;0.3;
Ferrum Nuts;1;
Fire Root Globule;0.3;
Florican Mist;0.27;
Force Nexus;0.01;
Garcen Grease;0.1;
Ghali; 1; 1; 8; 0.16;
Gorbek Emulsion;0.4;
Green Crystal;0.03;
Growth Molecules;0.47;
Harvey Wallbanger Cocktail Mix;0.04;
Hazy Crystal;0.3;
Henren Stems;0.63;
Hurricane Cocktail Mix;0.01;
Hydrogen Steam;0.02;
Kamikaze Cocktail Mix;0.085;
Long Island Ice Tea Cocktail Mix;0.05;
Lotium Fluid;0.3;
Lumis Leach;0.42;
Lytairian Dust;0.19;
Magerian Mist;0.25;
Mai Tai Cocktail Mix;0.015;
Mamnoon;0.08;
Melchi Water;0.02;
Mojito Cocktail Mix;0.02;
Nawa Drops;0.01;
Nirvana Cocktail Mix;0.02;
Orange Crystal;0.07;
Pel Crystals;0.5;
Pina Colada Cocktail Mix;0.025;
Purple Crystal;0.08;
Quil Sap;0.25;
Rainbow Crystal;0.15;
Red Crystal;null;
Red Molten Crystal;0.5;
Sham;0.05;
Solis Beans;0.78;
Somin Tar;0.06;
Star Particles;0.08;
Sweetstuff;0.01;
Typonolic Steam;0.15;
Vegatation Spores;0.4;
Vorn Pellets;0.2;
Whiskey Sour Cocktail Mix;0.075;
Xelo Haze;0.39;
Yashib Stone;0.13;
Yellow Crystal;0.01;
Youd;0.04;
Zoldenite Dust;0.04;
Zolphic Oil;0.04
