name;maxTT
Aakas Alloy;0.1;
Aarkan Pellets;0.02;
Alkar Crystals;0.05;
Arkadian Golden Key Barrel;18;
Arkadian Golden Key Bearings;2;
Arkadian Golden Key Codex Chamber;40;
Arkadian Golden Key Cog;10;
Arkadian Golden Key Gears;1;
Arkadian Golden Key Housing;30;
Arkadian Golden Key Inner Ring;20;
Arkadian Golden Key Interface;12;
Arkadian Golden Key Outer Ring;30;
Arkadian Golden Key Power Source;6;
Bismuth Fragment;0.2;
ChemSet;0.3;
Diagen Firedrops;0.04;
Hexra Gems;0.1;
Khorudoul Extrusion;0.08;
Khorum Alloy;0.2;
Part Of Brass Alloy;0.12;
Part Of Bronze Alloy;0.1;
Part Of Flint Arrow Head;0.08;
Part Of Flint  Axe Head;0.06;
Part Of Fly Amber;0.1;
Part Of Fossil Ammonite;0.02;
Part Of Fossil Tooth;0.01;
Part Of Mosquito Amber;0.3;
Pirrel Pellets;0.3;
Quenta Flux;0.15;
Regula Lode;0.2;
Songkra Alloy;0.25;
Songtil Agent;0.06;
Starrix Nodes;0.25;
Vedacore Fibre;0.15;
