    
imgId;itemId;ItemName
5518;1779;Aakas Plating
5528;1775;Aarkan Polymer
6051;2110;Alkar Lattice
5529;1786;Balancing Agent
5530;1792;Binding Epoxy
;2604;Bismuth Plating
5540;1811;Brass Alloy
5511;1802;Bronze Alloy
6069;2114;Diagen Matrix
5522;1804;Flint Arrow Head
5536;1805;Flint Axe Head
5539;1812;Fly Amber
5516;1803;Fossil Ammonite
5514;1788;Fossil Tooth
5933;2088;Hexra Electroplate
5520;1777;Khorudoul Polymer
5533;1781;Khorum Plating
5542;1813;Mosquito Amber
6372;2081;Pirrel Hexaton
6394;2094;Quenta Panel
;2090;Regula Powder
5524;1790;Songkra Plating
6007;2100;Starrix Quilting
5544;1814;Vedacore Sheeting
1373;375;Alicenies Gel
364;376;Angelic Flakes
1903;590;Antimagnetic Oil
1375;453;Ares Powder
;1972;Aurilinin Gel
1177;377;Binary Energy
6075;1435;Black Russian Cocktail
5980;2086;Bodai Filler
1730;588;Chalmon
;1863;Chilling Agent
;1849;Color Enhancing Agent
8040;2756;Concentrated Phlogiston
;1850;Darkening Agent
3205;1033;Dianthus Crystal Powder
;1968;Distilled Sweat Crystal
1656;378;Dunkel Plastix
4651;1491;Edres Varnish
3206;1034;Energized Crystal Cell
1657;475;Energized Fertilizer
3204;1035;Fire Root Pellet
4624;1493;Florican Spray
1227;379;Garcen Lubricant
6131;2294;Ghali Powder
6021;2092;Gorbek Tallow
7211;1857;Hardening Agent
;2435;Hareer Thread
4430;1442;Harvey Wallbanger Cocktail
;1854;Heating Agent
2693;957;Henren Cube
4019;1157;Hurricane Cocktail
4655;1500;Hydrogen Gas
1901;616;Inhaler
6260;1436;Kamikaze Cocktail
5476;1741;Life Essence
;1852;Lightening Agent
1498;510;Light Liquid
1902;585;Light Mail
6172;1450;Long Island Ice Tea Cocktail
6174;2097;Lotium Gel
950;380;Lytairian Powder
1660;381;Magerian Spray
;2017;Magtonium Dust
4170;1158;Mai Tai Cocktail
6190;2240;Mamnoon Mist
1819;610;Medical Compress
1904;382;Melchi Crystal
4426;1159;Mojito Cocktail
8033;2772;Nawa Energy Core
8032;2771;Nawa Shard
6228;2335;Nawa Vial
4171;1160;Nirvana Cocktail
371;383;Oil
1252;457;Pearl Sand
4653;1527;Pel Liquid
4020;1161;Pina Colada Cocktail
1277;507;Putty
4630;1489;Quil Rubber
;1876;Reflecting Agent
1276;506;Root Acid
6282;2246;Sham Sand
;1865;1865;Softening Agent
1275;455;Solis Paste
4648;1514;Somin Glue
4649;1520;Star Dust
5463;1731;Super Adhesive
1662;384;Typonolic Gas
4626;1487;Vorn Plastic
6321;1437;Whiskey Sour Cocktail
4656;1521;Xelo Vapour
6341;2376;Youd Bottle
5710;1980;Zincalicid Energy Crystal
6272;2223;Zoldenite Crystal
4631;1479;Zolphic Grease
5517;1778;Aakas Alloy
5527;1774;Aarkan Pellets
6079;2109;Alkar Crystals
6053;1877;Arkadian Golden Key Barrel
5984;1878;Arkadian Golden Key Bearings
5985;1924;Arkadian Golden Key Codex Chamber
5997;1879;Arkadian Golden Key Cog
6017;1880;Arkadian Golden Key Gears
5986;1881;Arkadian Golden Key Housing
6102;1882;Arkadian Golden Key Inner Ring
6067;1883;Arkadian Golden Key Interface
6103;1884;Arkadian Golden Key Outer Ring
6076;1885;Arkadian Golden Key Power Source
7003;2556;Bismuth Fragment
5531;1793;ChemSet
6090;2113;Diagen Firedrops
6150;2087;Hexra Gems
5519;1776;Khorudoul Extrusion
5532;1780;Khorum Alloy
5512;1801;Part Of Brass Alloy
5537;1807;Part Of Bronze Alloy
5521;1800;Part Of Flint Arrow Head
5535;1806;Part Of Flint  Axe Head
5538;1808;Part Of Fly Amber
5515;1799;Part Of Fossil Ammonite
5513;1789;Part Of Fossil Tooth
5541;1809;Part Of Mosquito Amber
6371;2082;Pirrel Pellets
6393;2093;Quenta Flux
;2089;Regula Lode
5523;1791;Songkra Alloy
5526;1785;Songtil Agent
6292;2099;Starrix Nodes
5543;1810;Vedacore Fibre
1818;584;Adomasite Stone
1637;17;Alferix Stone
3732;1162;Alternative Rock
6078;2243;Aqeeq Stone
6077;2103;Arekite Stone
1381;18;Azzurdite Stone
4686;1497;Banite Stones
